arrival_time,amplitude,icloud,distance,station,station_y,station_x,Max_disp_10_49_Z,CF_1_49_Z,CF_vel_1_49_Z,polarity,trig_on,trig_off
2017-06-16 08:02:03.842385+00:00,-7.57,True,6823.58,A015A,48.9334,14.9936,5.63171975047e-09,40.0837202518,44.6956589875,Negative,4385,5089
2017-07-06 16:54:39.181393+00:00,3.83,True,6829.18,A027A,46.8159,14.0074,1.15910293824e-08,26.3865872944,38.286654874,Positive,4926,7862
2017-07-30 21:19:23.472401+00:00,-5.8,False,6833.19,A033A,47.4797,13.126,9.37285044121e-09,17.8394938878,36.813549034,Negative,4086,4773
2016-06-02 13:15:45.064310+00:00,-4.67,True,6863.79,A020A,46.9484,15.2994,3.63277696223e-09,6.79486525156,18.9376260588,Negative,5024,5544
2016-08-29 17:20:08.017829+00:00,-4.31,True,6902.01,A103A,47.8102,9.52212,5.14008155937e-09,7.25792953285,31.8060823335,Negative,4857,6003
2017-08-09 21:29:20.763971+00:00,2.52,True,6906.92,A033A,47.4797,13.126,1.34504205791e-08,13.1695426305,33.5086076348,Positive,4045,5676
2016-06-04 13:02:25.191943+00:00,5.32,True,6915.5,A026A,46.9332,14.5516,9.68487554831e-10,13.1181523656,36.9228322761,Positive,5345,6390
2016-07-05 19:41:05.430564+00:00,-13.37,True,6916.78,A024A,48.2131,14.1367,1.29959296136e-08,9.41277560589,26.6359708354,Negative,4734,5236
2017-07-05 16:35:43.739234+00:00,2.72,True,6958.64,A333A,48.7156,17.1041,5.27652803798e-09,4.34544936153,18.1244853569,Positive,4580,5306
2017-05-14 11:10:53.870790+00:00,-5.01,True,6968.73,A006A,48.7404,16.0203,3.11206165741e-09,5.77788688294,29.8691393432,Negative,5076,5336
2017-04-10 18:24:17.400849+00:00,19.75,False,6974.59,A023A,48.4608,14.0707,3.46668216008e-09,25.7856888607,32.3853315198,Positive,4415,5776
2017-04-04 20:50:53.605234+00:00,36.28,False,6978.18,A262A,46.8642,16.5276,9.85528602624e-08,9.76012325414,22.859989239,Positive,3827,4776
2016-05-05 14:09:51.525477+00:00,-14.08,False,6985.6,A019A,47.4457,15.0856,8.48250818742e-08,31.4663757045,41.9212085332,Negative,4467,5721
2017-06-23 10:47:04.592238+00:00,4.32,True,6994.52,A017A,47.948,14.7589,9.68935236064e-09,21.7556169747,39.5091837393,Positive,4751,5834
2017-05-30 22:58:06.232269+00:00,-6.05,True,7004.54,A008A,48.3687,15.6522,7.97243710187e-09,22.6304366062,37.5498685461,Negative,4436,6211
